Name,Aa-T,Aa-A,Aa-EN,Aa-RI,Aa-VE,Aa-CR,Aa-MO,Aa-MMt,Ab-T,Ab-A,Ab-EN,Ab-RI,Ab-VE,Ab-CR,Ab-MO,Ab-MMt,Ba-T,Ba-A,Ba-EN,Ba-RI,Ba-VE,Ba-CR,Ba-MO,Ba-MMt,Bb-T,Bb-A,Bb-EN,Bb-RI,Bb-VE,Bb-CR,Bb-MO,Bb-MMt,O-2p,M-oct,M-tetra,Hybri(O-Moct),Hybri(O-Mtet),weak-hybri
[Ni0.5Al0.5][Ni0.5Al1.5]O4,Ni,0.5,1.92,83,10,2.3,0.212,-2.225,Al,0.5,1.61,67.5,3,1.9,-3.361,6.146,Ni,0.5,1.92,70,10,2.3,0.375,-2.236,Al,1.5,1.61,67.5,3,1.9,-2.475,6.49,-0.495,-0.913,-1.764,0.418,1.269,1.269
[Ni0.25Al0.75][Ni0.75Al1.25]O4,Ni,0.25,1.92,83,10,2.3,0.212,-2.225,Al,0.75,1.61,67.5,3,1.9,-3.361,6.146,Ni,0.75,1.92,70,10,2.3,0.375,-2.236,Al,1.25,1.61,67.5,3,1.9,-2.475,6.49,-0.788,-1.307,-1.196,0.519,0.408,0.519
Al[NiAl]O4,Al,1,1.61,67.5,3,1.9,-3.361,6.146,0,0,0,0,0,0,0,0,Ni,1,1.92,70,10,2.3,0.375,-2.236,Al,1,1.61,67.5,3,1.9,-2.475,6.49,-0.661,-1.646,3.594,0.985,4.255,4.255
MnAl2O4,Mn,1,1.55,81,7,2.3,-0.666,1.014,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.372,-2.436,0.744,0.064,3.116,3.116
[Ti0.25Mn0.75]Al2O4,Ti,0.25,1.54,100,4,2.8,-4.853,0.97,Mn,0.75,1.55,81,7,2.3,-0.666,1.014,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.566,-1.192,0.424,2.374,3.99,3.99
[Ti0.5Mn0.5]Al2O4,Ti,0.5,1.54,100,4,2.8,-4.853,0.97,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.909,-1.277,0.762,2.632,4.671,4.671
Mn[Mn0.5Al1.5]O4,Mn,1,1.55,81,7,2.3,-0.666,1.014,0,0,0,0,0,0,0,0,Mn,0.5,1.55,72,7,2.3,-0.687,0.532,Al,1.5,1.61,67.5,3,1.9,-2.475,6.49,-2.559,-0.231,0.905,2.328,3.464,3.464
CuAl2O4,Cu,1,1.9,87,11,2.3,-0.862,-1.896,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-0.815,3.458,-1.937,4.273,1.122,4.273
[Ti0.25Cu0.75]Al2O4,Ti,0.25,1.54,100,4,2.8,-4.853,0.97,Cu,0.75,1.9,87,11,2.3,-0.862,-1.896,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.054,-0.262,-0.922,2.792,2.132,2.792
ZnAl2O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,0.126,4.177,-4.575,4.051,4.701,4.701
[Li0.5Zn0.5]Al2O4,Li,0.5,0.98,90,1,2.05,0.217,6.647,Zn,0.5,1.65,88,12,2.3,-0.106,-5.304,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-0.118,4.117,-5.225,4.235,5.107,5.107
[Ti0.125Zn0.875]Al2O4,Ti,0.125,1.54,100,4,2.8,-4.853,0.97,Zn,0.875,1.65,88,12,2.3,-0.106,-5.304,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.822,1.335,-6.308,4.157,3.486,4.157
[Ti0.25Zn0.75]Al2O4,Ti,0.25,1.54,100,4,2.8,-4.853,0.97,Zn,0.75,1.65,88,12,2.3,-0.106,-5.304,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.749,1.392,-5.146,4.141,2.397,4.141
[Ti0.5Zn0.5]Al2O4,Ti,0.5,1.54,100,4,2.8,-4.853,0.97,Zn,0.5,1.65,88,12,2.3,-0.106,-5.304,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-4.22,-2.283,-3.216,1.937,1.004,1.937
Zn[Fe0.5Al1.5]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.5,1.83,69,8,2.3,-2.231,-2.167,Al,1.5,1.61,67.5,3,1.9,-2.475,6.49,-0.344,1.314,-5.497,1.658,5.153,5.153
MgAl2O4,Mg,1,1.31,86,2,2,2.939,10.736,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,0.112,3.688,5.791,3.576,5.679,5.679
[Ti0.25Mg0.75]Al2O4,Ti,0.25,1.54,100,2,2.8,-4.853,0.97,Mg,0.75,1.31,86,2,2,2.939,10.736,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.428,-0.708,3.474,2.72,6.902,6.902
LiCo2O4,Li,1,0.98,90,1,2.05,0.217,6.647,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.104,-1.257,10.078,0.153,11.182,11.182
Li0.75Co2O4,Li,1,0.98,90,1,2.05,0.217,6.647,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.821,-1.746,2.33,0.075,4.151,4.151
Li0.5Co2O4,Li,1,0.98,90,1,2.05,0.217,6.647,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.586,-1.871,3.353,0.285,4.939,4.939
Li0.25Co2O4,Li,1,0.98,90,1,2.05,0.217,6.647,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.447,-1.98,5.353,0.533,6.8,6.8
Co2O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.201,-1.85,-0.908,0.649,0.293,0.649
Co[LiCo]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Li,1,0.98,90,1,2.05,0.88,8.847,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,-1.095,-2.098,-2.386,1.003,1.291,1.291
Co[Co]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.353,-2.114,-2.662,0.761,1.309,1.309
